Metadata_Source,n_cells
source_1,59503843.4808
source_10,79924228.5832
source_11,106344438.0386
source_13,190642892.216
source_2,86968288.23839813
source_3,156685048.95180348
source_4,123444178.294
source_5,224856758.0592
source_6,181000737.5144
source_8,131873205.9474
source_9,198553653.6492
